Ensembl Gene ID,Ensembl Transcript ID,Transcript Start,Transcript End,GC content,Chromosome Name
ENSG00000259710,ENST00000560892,35574797,35575181,48.31,15
ENSG00000259585,ENST00000558517,35590448,35591641,47.40,15
ENSG00000259688,ENST00000557918,35688422,35688645,41.07,15
ENSG00000225944,ENST00000418778,75402690,75404217,38.09,13
ENSG00000259411,ENST00000560893,35692892,35693969,47.12,15
ENSG00000226665,ENST00000415208,75710291,75711077,38.63,13
ENSG00000248079,ENST00000501169,35838396,36151202,37.09,15
ENSG00000248079,ENST00000559210,35838584,36150504,37.09,15
ENSG00000248079,ENST00000560866,36148678,36150503,37.09,15
ENSG00000214249,ENST00000451540,75812080,75814432,40.97,13
ENSG00000223880,ENST00000434832,75824616,75826148,39.79,13
ENSG00000259217,ENST00000559855,36067001,36067190,59.47,15
ENSG00000225203,ENST00000440094,75949647,75950209,40.67,13
ENSG00000259639,ENST00000560886,36231368,36266970,36.35,15
ENSG00000259639,ENST00000561394,36262559,36544458,36.35,15
ENSG00000261553,ENST00000563635,76123909,76381256,38.15,13
ENSG00000261553,ENST00000570285,76140968,76197456,38.15,13
ENSG00000259245,ENST00000560056,36338283,36341730,45.56,15
ENSG00000259395,ENST00000561236,36633940,36636367,39.09,15
ENSG00000259737,ENST00000558963,36731173,36736713,36.54,15
ENSG00000259737,ENST00000558262,36733819,36752650,36.54,15
ENSG00000259737,ENST00000558875,36735738,36763217,36.54,15
ENSG00000261105,ENST00000568302,76178836,76210130,39.53,13
ENSG00000261105,ENST00000568735,76178962,76210130,39.53,13
ENSG00000228444,ENST00000422931,76203370,76206271,42.56,13
ENSG00000261635,ENST00000561804,36905675,36906104,53.02,15
ENSG00000267024,ENST00000592220,34917017,34919178,47.32,19
ENSG00000230902,ENST00000424489,76262692,76263333,35.36,13
ENSG00000261315,ENST00000566382,36909290,36911468,40.75,15
ENSG00000239210,ENST00000471178,35024332,35024989,50.76,19
ENSG00000223458,ENST00000436872,76452849,76455263,35.03,13
ENSG00000260582,ENST00000564073,36918875,36919976,54.81,15
ENSG00000248830,ENST00000328088,35033367,35036300,36.67,19
